rebalancing__type,prototype,mitigation__type,eval__total_time,eval__status,eval__score_time,eval__flatten_equalized_odds_ratio,eval__flatten_balanced_accuracy,eval__fit_time,eval__equalized_odds_ratio,eval__by_group__White_Male,eval__by_group__White_Female,eval__by_group__Other_Male,eval__by_group__Other_Female,eval__by_group__Black_Male,eval__by_group__Black_Female,eval__by_group__Asian-Pac-Islander_Male,eval__by_group__Asian-Pac-Islander_Female,eval__by_group__Amer-Indian-Eskimo_Male,eval__by_group__Amer-Indian-Eskimo_Female,eval__balanced_accuracy,eval__absolute_time,classification__type
FunctionTransformer,rebalancing_mitigation_classification,LFR_wrapper,41.06083035469055,fail,3.334218883514404,nan_nan_0.0_0.08_nan,0.5_0.5_0.5_0.52_0.5,1.787634515762329,-inf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5045031688069589,1744047548.738974,KNeighborsClassifier
FunctionTransformer,rebalancing_mitigation_classification,CorrelationRemover,28.117031574249268,success,0.16397581100463868,0.0_0.0_0.0_0.0_0.0,0.75_0.75_0.76_0.76_0.75,5.087645530700684,0.0,0.84,0.21,0.23,0.0,0.44,0.04,0.81,0.15,0.21,0.12,0.7536540212073857,1744047507.6072335,RandomForestClassifier
FunctionTransformer,mitigation_rebalancing_classification,LFR_wrapper,54.63142681121826,fail,2.796213436126709,0.0_0.0_nan_nan_nan,0.5_0.5_0.5_0.5_0.5,5.4679971694946286,-inf,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.5010168809662212,1744047479.4228387,KNeighborsClassifier
FunctionTransformer,rebalancing_mitigation_classification,CorrelationRemover,12.576589107513428,success,1.1025081157684327,0.0_0.0_0.0_0.0_0.0,0.55_0.55_0.55_0.54_0.55,0.13734016418457032,0.0,0.82,0.29,0.28,0.0,0.56,0.24,0.62,0.2,0.44,0.0,0.5473992979592014,1744047424.1260748,KNeighborsClassifier
