rebalancing__type,rebalancing__n_neighbors,rebalancing__k_neighbors,prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__n_neurons,classification__n_neighbors,classification__n_hidden_layers,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__criterion,balanced_accuracy__status,balanced_accuracy__balanced_accuracy
FunctionTransformer,,,rebalancing_normalization_imputation_features_discretization_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,4,,3,2,2,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_imputation_normalization_discretization_features_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,2,,4,2,3,entropy,success,0.862122023420835
FunctionTransformer,,,imputation_normalization_rebalancing_features_discretization_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,3,,5,3,1,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_normalization_imputation_features_discretization_classification,,,,,PowerTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,4,4,,3,1,2,entropy,success,0.617718862914109
SMOTE,,5,features_rebalancing_imputation_normalization_discretization_classification,,,,,MinMaxScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,2,,3,2,3,gini,fail,-inf
FunctionTransformer,,,rebalancing_imputation_normalization_discretization_features_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,random,,,,4,2,,2,3,1,entropy,success,0.5
FunctionTransformer,,,normalization_rebalancing_discretization_features_imputation_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,1,,3,2,1,gini,success,0.862122023420835
FunctionTransformer,,,rebalancing_features_imputation_discretization_normalization_classification,,,,,PowerTransformer,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,3,1,,3,1,1,gini,success,0.5
FunctionTransformer,,,imputation_normalization_rebalancing_features_discretization_classification,,True,,False,RobustScaler,SimpleImputer,constant,,,PCA,1,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,,3,,,,manhattan,,,,,success,0.6187159897261765
FunctionTransformer,,,discretization_rebalancing_imputation_normalization_features_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,,,2,3,,4,2,3,gini,success,0.862122023420835
