prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__n_neighbors,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__criterion,balanced_accuracy__status,balanced_accuracy__balanced_accuracy
imputation_features_normalization_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.5,,,,uniform,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.8001275521309477
normalization_imputation_features_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.8249882460493666
features_discretization_imputation_normalization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.5,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,fail,-inf
normalization_imputation_features_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.811626616168212
discretization_imputation_features_normalization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,ascending,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,fail,-inf
discretization_normalization_imputation_features_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,random,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,15,,,manhattan,,,,,fail,-inf
normalization_features_imputation_discretization_classification,True,,False,,StandardScaler,IterativeImputer,,constant,roman,FunctionTransformer,,,Binarizer,0.5,,,,uniform,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.7985684123460014
imputation_features_discretization_normalization_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,arabic,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,6,,,minkowski,,,,,success,0.8042275042444823
normalization_features_discretization_imputation_classification,,False,,False,RobustScaler,IterativeImputer,,constant,descending,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,8,,,minkowski,,,,,fail,-inf
normalization_discretization_imputation_features_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,roman,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,4,,,minkowski,,,,,fail,-inf
normalization_imputation_discretization_features_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,roman,FunctionTransformer,,,Binarizer,0.0,,,,uniform,KNeighborsClassifier,,9,,,minkowski,,,,,success,0.6714907927386704
imputation_features_discretization_normalization_classification,,False,,False,RobustScaler,IterativeImputer,,constant,ascending,FunctionTransformer,,,Binarizer,0.0,,,,distance,KNeighborsClassifier,,3,,,minkowski,,,,,success,0.793033389926429
features_normalization_imputation_discretization_classification,,False,,False,RobustScaler,IterativeImputer,,most_frequent,random,FunctionTransformer,,,Binarizer,0.5,,,,uniform,KNeighborsClassifier,,7,,,minkowski,,,,,success,0.668373383831788
