prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__n_neighbors,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__criterion,accuracy
imputation_normalization_discretization_features_classification,,True,,True,RobustScaler,SimpleImputer,most_frequent,,,SelectKBest,,1,Binarizer,0.0,,,,,GaussianNB,,,,,,,,,,-inf
discretization_normalization_features_imputation_classification,,True,,True,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.4631932773109244
discretization_imputation_normalization_features_classification,,,,,PowerTransformer,FunctionTransformer,,,,SelectKBest,,3,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,2,1,,4,1,2,gini,-inf
imputation_discretization_normalization_features_classification,,,,,MinMaxScaler,FunctionTransformer,,,,SelectKBest,,1,KBinsDiscretizer,,quantile,6,onehot-dense,distance,KNeighborsClassifier,,3,,,manhattan,,,,,0.3215406162464986
normalization_discretization_features_imputation_classification,,False,,False,RobustScaler,FunctionTransformer,,,,PCA,1,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,-inf
features_imputation_discretization_normalization_classification,,,,,FunctionTransformer,IterativeImputer,,constant,random,PCA,1,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.39827731092436974
discretization_normalization_features_imputation_classification,,,,,FunctionTransformer,IterativeImputer,,constant,random,PCA,1,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.39827731092436974
features_normalization_imputation_discretization_classification,,,,,FunctionTransformer,IterativeImputer,,constant,random,PCA,1,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,-inf
features_normalization_discretization_imputation_classification,,,,,FunctionTransformer,IterativeImputer,,constant,random,PCA,3,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,-inf
normalization_imputation_discretization_features_classification,,,,,FunctionTransformer,IterativeImputer,,constant,random,PCA,1,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,-inf
discretization_normalization_features_imputation_classification,,True,,True,RobustScaler,IterativeImputer,,constant,descending,PCA,2,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,-inf
discretization_normalization_features_imputation_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,roman,FunctionTransformer,,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.4631932773109244
imputation_features_discretization_normalization_classification,,,,,MinMaxScaler,SimpleImputer,most_frequent,,,PCA,1,,KBinsDiscretizer,,kmeans,6,onehot,,DecisionTreeClassifier,random,,2,3,,2,2,3,gini,-inf
imputation_normalization_features_discretization_classification,,,,,MinMaxScaler,FunctionTransformer,,,,FunctionTransformer,,,KBinsDiscretizer,,uniform,6,onehot,uniform,KNeighborsClassifier,,18,,,minkowski,,,,,-inf
imputation_features_discretization_normalization_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,roman,FunctionTransformer,,,FunctionTransformer,,,,,,DecisionTreeClassifier,best,,2,1,,4,2,3,entropy,-inf
imputation_discretization_normalization_features_classification,,,,,PowerTransformer,IterativeImputer,,constant,arabic,PCA,2,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,-inf
features_discretization_normalization_imputation_classification,,,,,PowerTransformer,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,5.0,,,,,GaussianNB,,,,,,,,,,0.2623389355742297
imputation_discretization_normalization_features_classification,True,,False,,StandardScaler,IterativeImputer,,most_frequent,roman,FunctionTransformer,,,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,0.4631932773109244
imputation_normalization_features_discretization_classification,True,,True,,StandardScaler,IterativeImputer,,most_frequent,random,PCA,2,,KBinsDiscretizer,,quantile,6,ordinal,,DecisionTreeClassifier,best,,3,2,,4,2,1,gini,-inf
