prototype,normalization__with_std,normalization__with_mean,normalization__type,discretization__type,discretization__n_bins,classification__type,classification__n_neighbors,classification__max_depth,balanced_accuracy
normalization_discretization_classification,,,FunctionTransformer,FunctionTransformer,,KNeighborsClassifier,2,,-inf
normalization_classification,,,FunctionTransformer,FunctionTransformer,,DecisionTreeClassifier,,14,-inf
discretization_normalization_classification,False,False,StandardScaler,KBinsDiscretizer,4,DecisionTreeClassifier,,25,-inf
classification,,,FunctionTransformer,FunctionTransformer,,KNeighborsClassifier,2,,-inf
discretization_classification,,,FunctionTransformer,FunctionTransformer,,KNeighborsClassifier,3,,-inf
classification,,,FunctionTransformer,FunctionTransformer,,KNeighborsClassifier,9,,-inf
discretization_normalization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,29,,0.9663398692810456
discretization_normalization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,25,,0.9718954248366012
classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,28,,0.7143790849673202
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,22,,0.9774509803921569
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,19,,0.9663398692810456
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,25,,0.9718954248366012
normalization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,22,,0.9774509803921569
discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,22,,0.7199346405228757
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,20,,0.9774509803921569
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,24,,0.9774509803921569
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,21,,0.9774509803921569
normalization_discretization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,23,,0.9718954248366012
discretization_normalization_classification,,,FunctionTransformer,KBinsDiscretizer,8,KNeighborsClassifier,10,,-inf
normalization_classification,,,MinMaxScaler,KBinsDiscretizer,9,KNeighborsClassifier,15,,0.9718954248366012
normalization_classification,,,MinMaxScaler,KBinsDiscretizer,9,KNeighborsClassifier,14,,0.9663398692810456
discretization_classification,,,MinMaxScaler,KBinsDiscretizer,3,DecisionTreeClassifier,,2,-inf
normalization_discretization_classification,True,False,StandardScaler,KBinsDiscretizer,3,KNeighborsClassifier,17,,0.9326797385620915
normalization_classification,,,MinMaxScaler,KBinsDiscretizer,9,KNeighborsClassifier,24,,0.9774509803921569
normalization_classification,,,MinMaxScaler,KBinsDiscretizer,9,KNeighborsClassifier,22,,0.9774509803921569
discretization_classification,False,True,StandardScaler,KBinsDiscretizer,4,KNeighborsClassifier,23,,0.9399999999999998
discretization_classification,True,True,StandardScaler,FunctionTransformer,,KNeighborsClassifier,14,,0.9799999999999999
discretization_classification,True,True,StandardScaler,FunctionTransformer,,KNeighborsClassifier,10,,0.9666666666666666
discretization_normalization_classification,,,FunctionTransformer,KBinsDiscretizer,4,DecisionTreeClassifier,,7,0.9533333333333331
normalization_classification,,,MinMaxScaler,KBinsDiscretizer,6,DecisionTreeClassifier,,29,-inf
discretization_classification,False,False,StandardScaler,FunctionTransformer,,DecisionTreeClassifier,,3,-inf
discretization_classification,,,MinMaxScaler,FunctionTransformer,,DecisionTreeClassifier,,8,-inf
discretization_classification,,,FunctionTransformer,FunctionTransformer,,DecisionTreeClassifier,,18,-inf
discretization_classification,,,MinMaxScaler,KBinsDiscretizer,4,DecisionTreeClassifier,,6,-inf
classification,,,FunctionTransformer,FunctionTransformer,,KNeighborsClassifier,7,,-inf
discretization_normalization_classification,True,True,StandardScaler,FunctionTransformer,,DecisionTreeClassifier,,18,-inf
normalization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,18,,0.96
normalization_discretization_classification,True,True,StandardScaler,FunctionTransformer,,KNeighborsClassifier,26,,0.9466666666666665
normalization_classification,True,True,StandardScaler,FunctionTransformer,,KNeighborsClassifier,17,,0.9466666666666667
normalization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,15,,0.9666666666666666
normalization_classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,8,,0.96
normalization_discretization_classification,True,False,StandardScaler,FunctionTransformer,,KNeighborsClassifier,13,,0.9533333333333334
classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,23,,0.9733333333333333
classification,False,True,StandardScaler,FunctionTransformer,,KNeighborsClassifier,26,,0.96
classification,,,MinMaxScaler,KBinsDiscretizer,9,KNeighborsClassifier,22,,0.9666666666666666
classification,True,True,StandardScaler,FunctionTransformer,,KNeighborsClassifier,2,,0.9533333333333334
classification,,,MinMaxScaler,FunctionTransformer,,KNeighborsClassifier,21,,0.9666666666666666
discretization_classification,True,False,StandardScaler,FunctionTransformer,,KNeighborsClassifier,11,,0.9733333333333333
discretization_normalization_classification,,,FunctionTransformer,KBinsDiscretizer,4,KNeighborsClassifier,2,,-inf
discretization_classification,True,False,StandardScaler,FunctionTransformer,,KNeighborsClassifier,9,,0.9733333333333333
